type,count,amount,name,from,to,year,quarter,state
TOTAL,5021844,17584630267.779922,Peer-to-peer payments,1561919400000,1569609000000,2019,3,chhattisgarh
TOTAL,4335851,1069468753.7262831,Recharge & bill payments,1561919400000,1569609000000,2019,3,chhattisgarh
TOTAL,2772084,1074255588.7227576,Merchant payments,1561919400000,1569609000000,2019,3,chhattisgarh
TOTAL,16452,4542997.939180325,Financial Services,1561919400000,1569609000000,2019,3,chhattisgarh
TOTAL,96880,70361559.28538439,Others,1561919400000,1569609000000,2019,3,chhattisgarh
TOTAL,7241974,24112075521.017845,Peer-to-peer payments,1569868200000,1577471400000,2019,4,chhattisgarh
TOTAL,5112337,1257371454.8604,Recharge & bill payments,1569868200000,1577471400000,2019,4,chhattisgarh
TOTAL,3852716,1720930747.6285615,Merchant payments,1569868200000,1577471400000,2019,4,chhattisgarh
TOTAL,14974,4665759.804240476,Financial Services,1569868200000,1577471400000,2019,4,chhattisgarh
TOTAL,83757,48745253.90234077,Others,1569868200000,1577471400000,2019,4,chhattisgarh
TOTAL,8109789,28723854868.846924,Peer-to-peer payments,1577817000000,1585333800000,2020,1,chhattisgarh
TOTAL,6400067,1688995018.2209015,Recharge & bill payments,1577817000000,1585333800000,2020,1,chhattisgarh
TOTAL,4923214,2393811867.3887434,Merchant payments,1577817000000,1585333800000,2020,1,chhattisgarh
TOTAL,12424,7378557.223060286,Financial Services,1577817000000,1585333800000,2020,1,chhattisgarh
TOTAL,78497,46557359.6766012,Others,1577817000000,1585333800000,2020,1,chhattisgarh
TOTAL,8366200,2504355746.828547,Recharge & bill payments,1585679400000,1593282600000,2020,2,chhattisgarh
TOTAL,7216219,27351810047.608715,Peer-to-peer payments,1585679400000,1593282600000,2020,2,chhattisgarh
TOTAL,3158417,2361252112.419633,Merchant payments,1585679400000,1593282600000,2020,2,chhattisgarh
TOTAL,19986,17814454.60563486,Financial Services,1585679400000,1593282600000,2020,2,chhattisgarh
TOTAL,60103,33149845.438824516,Others,1585679400000,1593282600000,2020,2,chhattisgarh
TOTAL,9734445,34661165923.13037,Peer-to-peer payments,1593541800000,1601231400000,2020,3,chhattisgarh
TOTAL,8705513,2790720003.1373434,Recharge & bill payments,1593541800000,1601231400000,2020,3,chhattisgarh
TOTAL,5591916,3990179454.1880045,Merchant payments,1593541800000,1601231400000,2020,3,chhattisgarh
TOTAL,34893,39141096.45070238,Financial Services,1593541800000,1601231400000,2020,3,chhattisgarh
TOTAL,81772,45538330.62766186,Others,1593541800000,1601231400000,2020,3,chhattisgarh
TOTAL,14257312,50812302052.952705,Peer-to-peer payments,1601490600000,1609093800000,2020,4,chhattisgarh
TOTAL,11677743,8238390462.202984,Merchant payments,1601490600000,1609093800000,2020,4,chhattisgarh
TOTAL,9423324,3033918783.208999,Recharge & bill payments,1601490600000,1609093800000,2020,4,chhattisgarh
TOTAL,41308,48082346.06124696,Financial Services,1601490600000,1609093800000,2020,4,chhattisgarh
TOTAL,129949,82280639.52262866,Others,1601490600000,1609093800000,2020,4,chhattisgarh
TOTAL,15621154,55638916992.13896,Peer-to-peer payments,1609439400000,1616869800000,2021,1,chhattisgarh
TOTAL,15222763,10661449529.109669,Merchant payments,1609439400000,1616869800000,2021,1,chhattisgarh
TOTAL,8456094,3000977538.840563,Recharge & bill payments,1609439400000,1616869800000,2021,1,chhattisgarh
TOTAL,37395,40387648.84021996,Financial Services,1609439400000,1616869800000,2021,1,chhattisgarh
TOTAL,99031,68111552.62215017,Others,1609439400000,1616869800000,2021,1,chhattisgarh
TOTAL,18387345,62134058797.4359,Peer-to-peer payments,1617215400000,1624818600000,2021,2,chhattisgarh
TOTAL,15369311,12828590761.713423,Merchant payments,1617215400000,1624818600000,2021,2,chhattisgarh
TOTAL,10764784,3640692364.165052,Recharge & bill payments,1617215400000,1624818600000,2021,2,chhattisgarh
TOTAL,40213,39620256.36433959,Financial Services,1617215400000,1624818600000,2021,2,chhattisgarh
TOTAL,127767,85809079.54731184,Others,1617215400000,1624818600000,2021,2,chhattisgarh
TOTAL,27552743,19905616746.805294,Merchant payments,1625077800000,1632767400000,2021,3,chhattisgarh
TOTAL,25447410,80506858751.32883,Peer-to-peer payments,1625077800000,1632767400000,2021,3,chhattisgarh
TOTAL,11039088,4045490947.2382197,Recharge & bill payments,1625077800000,1632767400000,2021,3,chhattisgarh
TOTAL,38817,48855662.40142638,Financial Services,1625077800000,1632767400000,2021,3,chhattisgarh
TOTAL,159880,99286155.00295877,Others,1625077800000,1632767400000,2021,3,chhattisgarh
TOTAL,40526025,29283695601.229546,Merchant payments,1633026600000,1640629800000,2021,4,chhattisgarh
TOTAL,32799167,102177997315.68285,Peer-to-peer payments,1633026600000,1640629800000,2021,4,chhattisgarh
TOTAL,11115444,4724827139.9519415,Recharge & bill payments,1633026600000,1640629800000,2021,4,chhattisgarh
TOTAL,55237,66445873.296120845,Financial Services,1633026600000,1640629800000,2021,4,chhattisgarh
TOTAL,221621,146144588.65236923,Others,1633026600000,1640629800000,2021,4,chhattisgarh
TOTAL,95544,17526369.5804541,Recharge & bill payments,1514745000000,1522175400000,2018,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,44599,151966933.24607396,Peer-to-peer payments,1514745000000,1522175400000,2018,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1531,1580762.779739072,Merchant payments,1514745000000,1522175400000,2018,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1364,353171.5523814913,Financial Services,1514745000000,1522175400000,2018,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5511,4231146.95056825,Others,1514745000000,1522175400000,2018,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,122834,30595592.007682398,Recharge & bill payments,1522521000000,1530124200000,2018,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,69215,261995613.05482048,Peer-to-peer payments,1522521000000,1530124200000,2018,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,3544,4685536.036433555,Merchant payments,1522521000000,1530124200000,2018,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2996,383806.08546730166,Financial Services,1522521000000,1530124200000,2018,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,4037,4410224.471747881,Others,1522521000000,1530124200000,2018,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,157113,39790820.29359456,Recharge & bill payments,1530383400000,1538073000000,2018,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,119346,396698085.4104552,Peer-to-peer payments,1530383400000,1538073000000,2018,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,7465,5693604.7441260815,Merchant payments,1530383400000,1538073000000,2018,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1477,297647.89589848556,Financial Services,1530383400000,1538073000000,2018,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,4174,5159437.334100959,Others,1530383400000,1538073000000,2018,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,194214,582082154.4115133,Peer-to-peer payments,1538332200000,1545935400000,2018,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,185793,49972030.11285484,Recharge & bill payments,1538332200000,1545935400000,2018,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,15739,19577328.03937304,Merchant payments,1538332200000,1545935400000,2018,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2996,371674.6991335743,Financial Services,1538332200000,1545935400000,2018,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5340,6747429.538011953,Others,1538332200000,1545935400000,2018,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,408465,757657638.3173952,Peer-to-peer payments,1546281000000,1553711400000,2019,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,225998,62660761.88806932,Recharge & bill payments,1546281000000,1553711400000,2019,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,20694,17043867.88608146,Merchant payments,1546281000000,1553711400000,2019,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1645,221064.6189234741,Financial Services,1546281000000,1553711400000,2019,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5012,5786443.339431095,Others,1546281000000,1553711400000,2019,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,244134,734034142.8087387,Peer-to-peer payments,1554057000000,1561660200000,2019,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,198184,63874445.55241879,Recharge & bill payments,1554057000000,1561660200000,2019,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,40781,20816136.241969176,Merchant payments,1554057000000,1561660200000,2019,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,748,155149.75618074698,Financial Services,1554057000000,1561660200000,2019,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5809,5561402.205763446,Others,1554057000000,1561660200000,2019,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,319142,104597035.07984878,Recharge & bill payments,1561919400000,1569609000000,2019,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,249944,821178569.0593253,Peer-to-peer payments,1561919400000,1569609000000,2019,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,63616,30634658.237494454,Merchant payments,1561919400000,1569609000000,2019,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,533,425044.05141368794,Financial Services,1561919400000,1569609000000,2019,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5516,4636167.420289769,Others,1561919400000,1569609000000,2019,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,351819,125809568.35055912,Recharge & bill payments,1569868200000,1577471400000,2019,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,324464,1051976410.5472054,Peer-to-peer payments,1569868200000,1577471400000,2019,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,86758,45361559.23824883,Merchant payments,1569868200000,1577471400000,2019,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1019,267762.49056630814,Financial Services,1569868200000,1577471400000,2019,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,4911,3225961.384460643,Others,1569868200000,1577471400000,2019,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,407577,153340696.30393675,Recharge & bill payments,1577817000000,1585333800000,2020,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,329005,1119439489.5005136,Peer-to-peer payments,1577817000000,1585333800000,2020,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,137040,66713356.798143014,Merchant payments,1577817000000,1585333800000,2020,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,668,418783.1260904173,Financial Services,1577817000000,1585333800000,2020,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,4289,2851043.563834071,Others,1577817000000,1585333800000,2020,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,525974,178877986.7248658,Recharge & bill payments,1585679400000,1593282600000,2020,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,323909,1052118443.3664523,Peer-to-peer payments,1585679400000,1593282600000,2020,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,118801,68938500.71228051,Merchant payments,1585679400000,1593282600000,2020,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1826,993268.2971840606,Financial Services,1585679400000,1593282600000,2020,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2642,1448254.787275234,Others,1585679400000,1593282600000,2020,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,455603,201223380.1868608,Recharge & bill payments,1593541800000,1601231400000,2020,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,419524,1401020928.2319155,Peer-to-peer payments,1593541800000,1601231400000,2020,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,257572,143497844.49072367,Merchant payments,1593541800000,1601231400000,2020,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1635,1778864.0123306382,Financial Services,1593541800000,1601231400000,2020,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,3978,2268098.077531771,Others,1593541800000,1601231400000,2020,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,666995,2153786522.547576,Peer-to-peer payments,1601490600000,1609093800000,2020,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,631443,316510115.80515665,Merchant payments,1601490600000,1609093800000,2020,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,509971,224246669.7783347,Recharge & bill payments,1601490600000,1609093800000,2020,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2453,1683959.5099964456,Financial Services,1601490600000,1609093800000,2020,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,6929,4283833.187441602,Others,1601490600000,1609093800000,2020,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,768921,2379220756.2230163,Peer-to-peer payments,1609439400000,1616869800000,2021,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,705821,367522132.38063604,Merchant payments,1609439400000,1616869800000,2021,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,442926,213177144.73200977,Recharge & bill payments,1609439400000,1616869800000,2021,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2243,1930008.9716834244,Financial Services,1609439400000,1616869800000,2021,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5333,3782868.8861592514,Others,1609439400000,1616869800000,2021,1,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,843550,2512913026.4279447,Peer-to-peer payments,1617215400000,1624818600000,2021,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,802899,430487473.930562,Merchant payments,1617215400000,1624818600000,2021,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,471136,208762964.0120024,Recharge & bill payments,1617215400000,1624818600000,2021,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1826,1763792.6506419359,Financial Services,1617215400000,1624818600000,2021,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,5672,3741204.3977531465,Others,1617215400000,1624818600000,2021,2,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1312241,706774071.9381688,Merchant payments,1625077800000,1632767400000,2021,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1262732,3339347400.0643554,Peer-to-peer payments,1625077800000,1632767400000,2021,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,544322,253199754.8745275,Recharge & bill payments,1625077800000,1632767400000,2021,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2065,2252116.636459231,Financial Services,1625077800000,1632767400000,2021,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,8110,4365759.277996017,Others,1625077800000,1632767400000,2021,3,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2013673,1058989463.1650428,Merchant payments,1633026600000,1640629800000,2021,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,1577168,4202291071.7106133,Peer-to-peer payments,1633026600000,1640629800000,2021,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,551618,294991582.16815025,Recharge & bill payments,1633026600000,1640629800000,2021,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,2909,3159306.4175118254,Financial Services,1633026600000,1640629800000,2021,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,11717,6407962.869342193,Others,1633026600000,1640629800000,2021,4,dadra-&-nagar-haveli-&-daman-&-diu
TOTAL,3947297,1320559612.770412,Recharge & bill payments,1514745000000,1522175400000,2018,1,delhi
TOTAL,2380820,9125685134.894358,Peer-to-peer payments,1514745000000,1522175400000,2018,1,delhi
TOTAL,339809,375393115.19131327,Merchant payments,1514745000000,1522175400000,2018,1,delhi
TOTAL,136240,45588429.271575734,Financial Services,1514745000000,1522175400000,2018,1,delhi
TOTAL,318588,344277514.7923026,Others,1514745000000,1522175400000,2018,1,delhi
TOTAL,4511737,2078183615.8006349,Recharge & bill payments,1522521000000,1530124200000,2018,2,delhi
TOTAL,3542716,14348179103.109837,Peer-to-peer payments,1522521000000,1530124200000,2018,2,delhi
TOTAL,837001,631597790.6002588,Merchant payments,1522521000000,1530124200000,2018,2,delhi
TOTAL,205991,66584728.19594695,Financial Services,1522521000000,1530124200000,2018,2,delhi
TOTAL,276278,321754664.4984691,Others,1522521000000,1530124200000,2018,2,delhi
TOTAL,8557153,22670122888.868217,Peer-to-peer payments,1530383400000,1538073000000,2018,3,delhi
TOTAL,5305635,3261844270.537241,Recharge & bill payments,1530383400000,1538073000000,2018,3,delhi
TOTAL,3808395,1048422633.7093576,Merchant payments,1530383400000,1538073000000,2018,3,delhi
TOTAL,274526,45051151.35143036,Financial Services,1530383400000,1538073000000,2018,3,delhi
TOTAL,601339,350405916.1523186,Others,1530383400000,1538073000000,2018,3,delhi
TOTAL,9973249,32389252494.75772,Peer-to-peer payments,1538332200000,1545935400000,2018,4,delhi
TOTAL,9958967,2738429838.939273,Merchant payments,1538332200000,1545935400000,2018,4,delhi
TOTAL,7483633,3961160542.570066,Recharge & bill payments,1538332200000,1545935400000,2018,4,delhi
TOTAL,265004,58162003.43614492,Financial Services,1538332200000,1545935400000,2018,4,delhi
TOTAL,1506866,575852739.0031943,Others,1538332200000,1545935400000,2018,4,delhi
TOTAL,20216287,48250023720.99173,Peer-to-peer payments,1546281000000,1553711400000,2019,1,delhi
TOTAL,13875931,3996618719.7994804,Merchant payments,1546281000000,1553711400000,2019,1,delhi
TOTAL,10744978,5521320539.356212,Recharge & bill payments,1546281000000,1553711400000,2019,1,delhi
TOTAL,223095,30997039.697555833,Financial Services,1546281000000,1553711400000,2019,1,delhi
TOTAL,1947036,670171769.6522964,Others,1546281000000,1553711400000,2019,1,delhi
TOTAL,20891431,6816878922.844399,Merchant payments,1554057000000,1561660200000,2019,2,delhi
TOTAL,20570311,65953571241.26435,Peer-to-peer payments,1554057000000,1561660200000,2019,2,delhi
TOTAL,12869453,8035701902.391765,Recharge & bill payments,1554057000000,1561660200000,2019,2,delhi
TOTAL,137774,33985068.68378611,Financial Services,1554057000000,1561660200000,2019,2,delhi
TOTAL,2702543,866678928.4439986,Others,1554057000000,1561660200000,2019,2,delhi
TOTAL,29453368,9857221391.940361,Merchant payments,1561919400000,1569609000000,2019,3,delhi
TOTAL,25201978,81904443496.29778,Peer-to-peer payments,1561919400000,1569609000000,2019,3,delhi
TOTAL,11133404,10406524192.884487,Recharge & bill payments,1561919400000,1569609000000,2019,3,delhi
TOTAL,92061,27952186.986432005,Financial Services,1561919400000,1569609000000,2019,3,delhi
TOTAL,3657065,1000670778.3478061,Others,1561919400000,1569609000000,2019,3,delhi
TOTAL,33040093,105858524152.38443,Peer-to-peer payments,1569868200000,1577471400000,2019,4,delhi
TOTAL,32537378,12864577363.070576,Merchant payments,1569868200000,1577471400000,2019,4,delhi
TOTAL,11609898,9500486080.98845,Recharge & bill payments,1569868200000,1577471400000,2019,4,delhi
TOTAL,57063,21512527.973989226,Financial Services,1569868200000,1577471400000,2019,4,delhi
TOTAL,3500565,779367300.4732571,Others,1569868200000,1577471400000,2019,4,delhi
TOTAL,33951545,14470782771.054684,Merchant payments,1577817000000,1585333800000,2020,1,delhi
TOTAL,32410795,108987600006.3667,Peer-to-peer payments,1577817000000,1585333800000,2020,1,delhi
TOTAL,12822919,9498791147.929193,Recharge & bill payments,1577817000000,1585333800000,2020,1,delhi
TOTAL,46529,39908838.24852887,Financial Services,1577817000000,1585333800000,2020,1,delhi
TOTAL,2515816,619460878.9909673,Others,1577817000000,1585333800000,2020,1,delhi
TOTAL,27155938,86227124454.10175,Peer-to-peer payments,1585679400000,1593282600000,2020,2,delhi
TOTAL,24963931,12708327043.868336,Merchant payments,1585679400000,1593282600000,2020,2,delhi
TOTAL,13568505,8699886044.040596,Recharge & bill payments,1585679400000,1593282600000,2020,2,delhi
TOTAL,64790,75405868.16164647,Financial Services,1585679400000,1593282600000,2020,2,delhi
TOTAL,288854,162694793.15869594,Others,1585679400000,1593282600000,2020,2,delhi
TOTAL,41498638,140074023548.15637,Peer-to-peer payments,1593541800000,1601231400000,2020,3,delhi
TOTAL,40973792,21858176583.0589,Merchant payments,1593541800000,1601231400000,2020,3,delhi
TOTAL,13448341,12883226305.336546,Recharge & bill payments,1593541800000,1601231400000,2020,3,delhi
TOTAL,85689,114341865.2645722,Financial Services,1593541800000,1601231400000,2020,3,delhi
TOTAL,485401,234194502.8442282,Others,1593541800000,1601231400000,2020,3,delhi
TOTAL,54581166,31106554562.7951,Merchant payments,1601490600000,1609093800000,2020,4,delhi
TOTAL,49631928,171546055992.1488,Peer-to-peer payments,1601490600000,1609093800000,2020,4,delhi
TOTAL,14862946,12921793576.576857,Recharge & bill payments,1601490600000,1609093800000,2020,4,delhi
TOTAL,114862,160007919.76894268,Financial Services,1601490600000,1609093800000,2020,4,delhi
TOTAL,1349515,530676173.2537967,Others,1601490600000,1609093800000,2020,4,delhi
TOTAL,72615587,39861532639.012344,Merchant payments,1609439400000,1616869800000,2021,1,delhi
TOTAL,61957428,210823551741.40936,Peer-to-peer payments,1609439400000,1616869800000,2021,1,delhi
TOTAL,21164274,15447408658.778738,Recharge & bill payments,1609439400000,1616869800000,2021,1,delhi
TOTAL,153039,203106852.42387855,Financial Services,1609439400000,1616869800000,2021,1,delhi
TOTAL,1468676,592745151.8683048,Others,1609439400000,1616869800000,2021,1,delhi
TOTAL,75620295,42933366743.23575,Merchant payments,1617215400000,1624818600000,2021,2,delhi
TOTAL,68497718,223034955527.75317,Peer-to-peer payments,1617215400000,1624818600000,2021,2,delhi
TOTAL,25026678,15310096462.746447,Recharge & bill payments,1617215400000,1624818600000,2021,2,delhi
TOTAL,158170,190019761.49741396,Financial Services,1617215400000,1624818600000,2021,2,delhi
TOTAL,854403,472659189.30861247,Others,1617215400000,1624818600000,2021,2,delhi
TOTAL,115250887,64006915630.53262,Merchant payments,1625077800000,1632767400000,2021,3,delhi
TOTAL,93292876,298005532606.47,Peer-to-peer payments,1625077800000,1632767400000,2021,3,delhi
TOTAL,28427032,20934734871.908962,Recharge & bill payments,1625077800000,1632767400000,2021,3,delhi
TOTAL,144460,220660990.22066334,Financial Services,1625077800000,1632767400000,2021,3,delhi
TOTAL,1645353,690472449.1489255,Others,1625077800000,1632767400000,2021,3,delhi
TOTAL,149204611,88990516304.07437,Merchant payments,1633026600000,1640629800000,2021,4,delhi
TOTAL,112380292,376556972334.1598,Peer-to-peer payments,1633026600000,1640629800000,2021,4,delhi
TOTAL,30127352,22290161823.248642,Recharge & bill payments,1633026600000,1640629800000,2021,4,delhi
TOTAL,199280,287950130.24921745,Financial Services,1633026600000,1640629800000,2021,4,delhi
TOTAL,771824,569713470.6592032,Others,1633026600000,1640629800000,2021,4,delhi
TOTAL,85991,18273814.162708722,Recharge & bill payments,1514745000000,1522175400000,2018,1,goa
TOTAL,59651,268175048.06992978,Peer-to-peer payments,1514745000000,1522175400000,2018,1,goa
TOTAL,7880,11036031.735657964,Merchant payments,1514745000000,1522175400000,2018,1,goa
TOTAL,1191,520105.642400422,Financial Services,1514745000000,1522175400000,2018,1,goa
TOTAL,6184,5851742.732386975,Others,1514745000000,1522175400000,2018,1,goa
TOTAL,120943,30994284.17044104,Recharge & bill payments,1522521000000,1530124200000,2018,2,goa
TOTAL,87878,419492232.52410376,Peer-to-peer payments,1522521000000,1530124200000,2018,2,goa
TOTAL,12456,20162855.70611957,Merchant payments,1522521000000,1530124200000,2018,2,goa
TOTAL,1903,733429.427283199,Financial Services,1522521000000,1530124200000,2018,2,goa
TOTAL,6395,7221023.530667527,Others,1522521000000,1530124200000,2018,2,goa
TOTAL,158797,40314972.94208837,Recharge & bill payments,1530383400000,1538073000000,2018,3,goa
TOTAL,150297,639468418.1317002,Peer-to-peer payments,1530383400000,1538073000000,2018,3,goa
TOTAL,21587,26634198.178851012,Merchant payments,1530383400000,1538073000000,2018,3,goa
TOTAL,1867,468171.36483984883,Financial Services,1530383400000,1538073000000,2018,3,goa
TOTAL,6963,6281208.620754639,Others,1530383400000,1538073000000,2018,3,goa
TOTAL,246426,1021902315.4426756,Peer-to-peer payments,1538332200000,1545935400000,2018,4,goa
TOTAL,212122,54832855.89468471,Recharge & bill payments,1538332200000,1545935400000,2018,4,goa
TOTAL,45586,66666113.92145965,Merchant payments,1538332200000,1545935400000,2018,4,goa
TOTAL,2523,723599.2328183289,Financial Services,1538332200000,1545935400000,2018,4,goa
TOTAL,8098,8880194.430766659,Others,1538332200000,1545935400000,2018,4,goa
TOTAL,378848,1310759847.8146646,Peer-to-peer payments,1546281000000,1553711400000,2019,1,goa
TOTAL,275277,78212835.0406034,Recharge & bill payments,1546281000000,1553711400000,2019,1,goa
TOTAL,74527,75946974.41483101,Merchant payments,1546281000000,1553711400000,2019,1,goa
TOTAL,2013,499592.0966860995,Financial Services,1546281000000,1553711400000,2019,1,goa
TOTAL,8147,9904147.90979165,Others,1546281000000,1553711400000,2019,1,goa
TOTAL,373759,1391933790.7547765,Peer-to-peer payments,1554057000000,1561660200000,2019,2,goa
TOTAL,278060,93218689.41694948,Recharge & bill payments,1554057000000,1561660200000,2019,2,goa
TOTAL,104592,92873008.6474504,Merchant payments,1554057000000,1561660200000,2019,2,goa
TOTAL,1211,515859.8076807977,Financial Services,1554057000000,1561660200000,2019,2,goa
TOTAL,10819,13325754.760758925,Others,1554057000000,1561660200000,2019,2,goa
TOTAL,475178,1704668027.0159788,Peer-to-peer payments,1561919400000,1569609000000,2019,3,goa
TOTAL,453806,157952854.9501171,Recharge & bill payments,1561919400000,1569609000000,2019,3,goa
TOTAL,150578,123948570.56857497,Merchant payments,1561919400000,1569609000000,2019,3,goa
TOTAL,1510,1282344.8444824044,Financial Services,1561919400000,1569609000000,2019,3,goa
TOTAL,11344,12515394.117688328,Others,1561919400000,1569609000000,2019,3,goa
TOTAL,698728,2484453030.31845,Peer-to-peer payments,1569868200000,1577471400000,2019,4,goa
TOTAL,552421,205602115.14625147,Recharge & bill payments,1569868200000,1577471400000,2019,4,goa
